step,total_steps,loss,kl_loss,policy_ratio,reward_avg,format_reward_avg,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg,eval_acc
139,500,0.000000,0.000000,1.000000,0.500000,0.250000,47.637029,945.250000,0.000000,0.999892,0.991139,
140,500,0.000000,0.000000,1.000000,0.500000,0.250000,47.111934,884.750000,0.000000,0.999892,1.282637,
141,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.161018,246.875000,0.000000,0.000000,0.809222,
142,500,0.000000,0.000000,1.000000,0.250000,0.125000,46.883520,1008.750000,0.000000,0.999859,1.603702,
143,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.768566,505.625000,0.000000,0.000000,1.605235,
144,500,0.000000,0.000000,1.000000,1.750000,0.875000,47.465421,735.750000,0.000000,0.999859,1.203272,
145,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.301695,967.125000,0.000000,0.000000,1.706993,
146,500,0.000000,0.000000,1.000000,1.250000,0.625000,48.571807,333.375000,0.000000,0.999903,0.856501,
147,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.916646,513.250000,0.000000,0.000000,1.506527,
148,500,0.000000,0.000000,1.000000,1.250000,0.625000,47.242259,726.875000,0.000000,0.999903,1.562541,
149,500,0.000000,0.000000,1.000000,0.750000,0.375000,46.987478,785.625000,0.000000,0.999903,1.624285,
150,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.628900,942.375000,0.000000,0.000000,1.906568,42.0
151,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.182232,258.750000,0.000000,0.000000,1.160578,
152,500,0.000000,0.000000,1.000000,1.250000,0.625000,47.892096,756.250000,0.000000,0.999903,1.612228,
153,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.941185,206.375000,0.000000,0.000000,0.957392,
154,500,0.000000,0.000000,1.000000,1.250000,0.625000,47.888397,466.250000,0.000000,0.999903,1.793535,
155,500,0.000000,0.000000,1.000000,0.000000,0.000000,48.422200,198.625000,0.000000,0.000000,1.025746,
156,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.755254,1024.000000,0.000000,0.000000,2.798548,
157,500,0.000000,0.000000,1.000000,0.500000,0.250000,46.907775,833.750000,0.000000,0.999892,2.118956,
158,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.916864,775.125000,0.000000,0.000000,2.572925,
159,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.620347,1024.000000,0.000000,0.000000,3.174119,
160,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.865464,1024.000000,0.000000,0.000000,3.126585,
161,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.075304,1024.000000,0.000000,0.000000,3.132438,
162,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.086899,1024.000000,0.000000,0.000000,3.427204,
163,500,0.000000,0.000000,1.000000,1.500000,0.750000,49.147741,324.000000,0.000000,0.999892,2.038814,
164,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.178621,1024.000000,0.000000,0.000000,3.425622,
165,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.885009,1024.000000,0.000000,0.000000,3.537496,
166,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.326787,1024.000000,0.000000,0.000000,3.670023,
167,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.849079,1024.000000,0.000000,0.000000,3.487094,
168,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.312903,926.375000,0.000000,0.000000,3.808403,
169,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.923115,1024.000000,0.000000,0.000000,3.843647,
170,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.912956,1024.000000,0.000000,0.000000,3.916615,
171,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.960607,1011.875000,0.000000,0.000000,3.804718,
172,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.087432,1009.250000,0.000000,0.000000,3.609811,
173,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.115800,1024.000000,0.000000,0.000000,3.715980,
174,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.073751,1024.000000,0.000000,0.000000,3.924706,
175,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.347939,970.000000,0.000000,0.000000,3.483221,
176,500,0.000000,0.000000,1.000000,1.125000,0.500000,48.166218,528.375000,0.000000,0.999899,2.341252,
177,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.122777,853.125000,0.000000,0.000000,2.678275,
178,500,0.000000,0.000000,1.000000,0.500000,0.250000,48.195547,565.875000,0.000000,0.999892,2.854528,
179,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.320060,299.625000,0.000000,0.000000,2.615032,
180,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.159189,776.625000,0.000000,0.000000,4.209135,
181,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.312756,874.875000,0.000000,0.000000,3.934752,
182,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.993564,167.000000,0.000000,0.000000,1.343739,
183,500,0.000000,0.000000,1.000000,1.250000,0.625000,48.651216,330.500000,0.000000,0.999903,2.930797,
184,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.299493,774.125000,0.000000,0.000000,3.953966,
185,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.499981,1024.000000,0.000000,0.000000,4.255342,
186,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.538332,706.875000,0.000000,0.000000,3.917249,
187,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.169690,780.250000,0.000000,0.000000,4.007372,
188,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.229656,803.625000,0.000000,0.000000,4.594036,
189,500,0.000000,0.000000,1.000000,0.000000,0.000000,48.893014,414.375000,0.000000,0.000000,3.494004,
190,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.334759,674.875000,0.000000,0.000000,4.326015,
191,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.595195,1003.625000,0.000000,0.000000,4.830525,
